Molecule_Name,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,,
1126521,-0.238781,0.150707,-0.088074,10.46,7.45,11.08,6.36141886688811,-43.10212,54.56692,389.3630000000001,120.76999999999998,10.744837,4,6,42.3,57.7,0.00070161,25.403455,1313.8665,7,3,3.5663000000000027,2926.19228,1.4911,24.5,,
796944,-0.259923,0.218901,-0.041022,16.84,8.12,11.8125,4.239147172486466,-43.17917,46.89924,274.25600000000003,54.37,2.700494,2,4,52.13,47.87,0.0005454,24.508985,201.9957,4,2,2.4736,2196.93255,1.3989,24.5,,
796943,-0.259923,0.218901,-0.041022,16.84,8.12,11.8125,4.239147172486466,-43.17917,46.89924,274.25600000000003,54.37,2.700494,2,4,52.13,47.87,0.0005454,24.508985,201.9957,4,2,2.4736,2196.93255,1.3989,24.5,,
1522755,-0.228381,0.180096,-0.048285,10.25,10.08,9.9175,0.3021899237234758,-40.91481,18.7924,437.6730000000002,65.74000000000001,3.610106,5,4,54.7,45.3,0.00028696,41.82093,290.1454,7,3,5.5530200000000045,2886.62274,1.699,24.5,,
281252,-0.239812,0.282026,0.042213,47.43,13.97,28.54,16.617949632851822,-39.61193,54.15361,139.091,83.55,1.791903,2,2,45.21,54.79,0.00073098,10.289734,112.3545,5,0,-0.4887,1093.57633,1.4253,24.5,,
61357,-0.37829,0.206225,-0.172065,7.41,6.04,9.5775,4.279856159966127,11.89124,120.79991,335.36300000000006,37.3,5.219884,1,6,0,100,0.0006342,30.931827,340.4295,3,3,3.4552000000000023,2764.58342,1.3593,24.5,,
202026,-0.375698,0.207366,-0.168332,14.28,5.71,8.709999999999999,3.3449738414522763,32.43362,113.24764,321.33600000000007,37.3,1.719131,1,5,0,100,0.00030218,14.210226,408.646,3,3,3.065100000000002,2611.04423,1.3791,24.5,,
5103743,-0.356636,0.188817,-0.167818,14.15,7.58,11.205,4.1123624597061,30.59647,113.1937,335.36300000000006,37.3,1.42059,1,6,0,100,0.00043585,20.570446,210.8982,3,3,3.939800000000004,2758.17357,1.3625,24.5,,
103760006,-0.25908,0.176433,-0.082647,12.67,14.65,12.725,1.252627239045998,-36.55937,34.4704,290.225,76.16,8.933954,4,4,36.78,63.22,0.00052922,18.122653,523.9562,7,2,3.3236800000000013,2035.33038,1.5979,24.5,,
98049539,-0.36644,0.209057,-0.157383,12.75,6.47,8.1525,2.778690114064539,22.63024,114.89186,377.4440000000001,37.3,3.440944,1,8,0,100,0.00039919,16.586797,483.9217,3,3,4.481400000000004,3190.42626,1.3257,24.5,,
98049540,-0.36644,0.209056,-0.157384,12.75,6.47,8.155,2.776342017835699,22.62969,114.89849,377.4440000000001,37.3,3.441071,1,8,0,100,0.00039925,16.578965,483.9382,3,3,4.481400000000004,3190.4425,1.3257,24.5,,
4071997,-0.355361,0.196884,-0.158477,15.1,7.59,9.2725,3.55546322579773,28.01638,101.9466,394.4560000000001,52.32,1.591654,4,5,0,100,0.00022086,8.071426,351.7488,5,3,3.211100000000002,3110.88493,1.4209,24.5,,
777933,-0.245641,0.200261,-0.04538,12.61,10.8,12.7625,2.9319991047065472,-48.87571,35.43437,350.35400000000004,54.37,7.896539,2,6,43.73,56.27,0.00066093,27.053657,213.0957,4,3,3.6964000000000015,2831.43233,1.3866,24.5,,
4712246,-0.221592,0.158304,-0.063288,9.39,5.78,9.3075,4.21360519626602,-41.36345,56.59609,257.245,86.63,8.019586,3,4,36.55,63.45,0.00087648,42.281754,776.9275,5,2,2.826600000000001,1967.64288,1.465,24.5,,
85763141,-0.213589,0.190996,-0.022593,17.84,6.91,11.1825,5.167825340508326,-37.2744,44.70786,320.3280000000001,37.3,1.114682,1,5,64.48,35.52,0.00025887,11.795589,199.9893,3,3,3.071900000000001,2637.58625,1.3609,24.5,,
104074724,-0.275174,0.168674,-0.1065,13.78,12.96,13.275,0.7701136279796635,-32.34218,46.43116,283.234,96.03,5.479574,4,4,27.12,72.88,0.00035998,14.436783,480.3957,8,1,2.1525800000000004,2046.88519,1.5506,24.5,,
338114,-0.234046,0.206852,-0.027194,29.28,33.06,26.22,10.236649842599872,-41.25284,59.07376,340.30000000000024,167.10000000000002,2.536749,6,9,42.21,57.79,0.00070113,30.011134,421.2758,12,0,0.0729999999999999,2440.48498,1.5625,24.5,,
1383025,-0.225416,0.145875,-0.079541,5.94,8.87,7.7225,1.482015097763852,-37.50731,51.8868,344.75000000000006,76.74000000000001,7.416937,4,4,43.33,56.67,0.00045047,23.349512,563.7733,6,3,3.9653000000000014,2532.56521,1.5254,24.5,,
1383026,-0.225416,0.145875,-0.079541,5.94,8.87,7.7225,1.482015097763852,-37.50731,51.8868,344.75000000000006,76.74000000000001,7.416937,4,4,43.33,56.67,0.00045047,23.34951,563.7733,6,3,3.9653000000000014,2532.56522,1.5254,24.5,,
88760965,-0.276914,0.215875,-0.061039,15.71,29.02,20.75,8.695191199737932,-42.413,46.60323,156.078,82.81,2.060571,6,4,38.79,61.21,0.00058877,15.000246,50.5108,7,0,-0.2178,1134.33876,1.5419,24.5,,
1955086,-0.21653,0.150713,-0.065816,10.12,13.19,9.46,2.451152790015343,-55.44295,35.99888,392.39500000000015,67.76,6.278877,5,7,46.27,53.73,0.0005751,23.430657,303.4504,6,3,3.989200000000003,3182.87269,1.3815,24.5,,
103759934,-0.254606,0.16728,-0.087325,12,15.29,12.55,1.5979831037905246,-33.38498,25.55621,272.23500000000007,76.16,2.161396,4,4,45.32,54.68,0.00037115,37.250605,191.1571,6,2,3.1845800000000013,2001.63405,1.5241,24.5,,
3626590,-0.237978,0.206305,-0.031673,11.7,12.24,11.4475,1.755696087026453,-33.14661,23.10952,286.081,61.44,0.828256,5,1,53.08,46.92,0.00029326,23.518902,215.0432,6,2,2.3616,1747.19644,1.8348,24.5,,
