ID,HOMO,HOMO_LUMO_Gap,LUMO,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,ESPmin,ESPmax,MolWt,TPSA,Dipole_Moment,NumHAcceptors,NumRotatableBonds,Nonpolar_Area,Polar_Area,Overall_Variance,Quadrupole_Moment,Octopole_Moment,NumHeteroatoms,NumAromaticRings,MolLogP,Volume,Density,Initial_PCE,Enhanced_PCE
2,-0.186865,0.143702,-0.043163,6.01,5.46,5.8275,0.390088131,-37.74553,56.55639,403.418,62.46,2.583222,2,5,46.58,53.42,0.00037246,16.284674,459.6656,5,5,6.0588,3208.4606,1.409,20.8,24.1
3,-0.182816,0.157198,-0.025618,4.37,5.47,4.92,0.607494856,-39.95129,55.21131,544.591,67.39,1.793261,3,7,53.6,46.4,0.00031504,43.759091,886.2533,6,7,8.5165,4371.57278,1.396,24.07,26.9
5,-0.274143,0.215894,-0.058248,15.05,12.05,15.3975,2.271534448,-31.2403,60.57222,192.623,54.37,3.046897,2,1,48.74,51.26,0.00056453,14.2569,125.9748,5,1,1.5867,1278.33706,1.6885,18.2,21.8
6,-0.202729,0.171152,-0.031577,9.2,7.41,9.0875,2.02188495,-34.46751,61.37303,465.103,60.77,3.486171,3,3,60.36,39.64,0.00044781,18.683762,286.0288,8,2,4.992,2677.00048,1.9469,21.16,22.44
7,-0.180537,0.119054,-0.061483,4.14,7.37,6.745,2.927067645,-42.08892,54.00676,635.716,79.15,6.416934,6,9,49.04,50.96,0.00030719,69.22102,2126.3392,7,7,9.5173,5086.61009,1.4005,18.9,21
8,-0.232943,0.261222,0.028279,71.92,31.97,31.16,25.32491165,-36.45253,16.87233,196.344,27.69,1.643546,4,6,53.89,46.11,0.00027167,16.439739,129.1304,5,0,1.1844,1724.21658,1.276,23.21,25.4
9,-0.160241,0.031986,-0.128255,7.9,13.09,8.1175,3.049716175,-36.98421,37.26605,615.827,50.82,9.003219,5,5,38.17,61.83,0.00048244,175.027556,1909.3198,5,7,11.96066,5393.84251,1.2794,24.6,26.23
10,-0.19533,0.168641,-0.026689,27.95,11.52,30.3425,22.7196428,-30.03087,22.07378,178.26,9.86,4.246131,3,0,44.62,55.38,0.00036802,16.411184,102.1053,3,2,2.24629,1489.25685,1.3413,21.88,25.05
11,-0.228223,0.292533,0.06431,39.29,3.82,21.3,13.3477957,-41.08156,39.02156,167.252,46.25,2.456514,2,0,69.42,30.58,0.00047551,8.861707,68.1223,2,0,1.0288,1495.47345,1.2532,19.62,22.21
12,-0.162852,0.125017,-0.037835,3,2.99,3.7,0.981147288,-25.81393,18.43153,972.986,53.26,1.633134,8,14,63.81,36.19,0.00011994,61.872267,1654.0929,14,10,15.5638,7259.32173,1.5019,22.2,24
14,-0.187628,0.116774,-0.070854,5.99,9.86,6.4875,2.001741429,-43.34225,53.38974,436.404,103.02,6.920162,5,7,50.83,49.17,0.0005433,23.944543,817.1348,8,3,5.21578,3403.95681,1.4366,23.43,25.16
15,-0.223137,0.229924,0.006787,23.2,21.76,23.075,3.510843916,-36.60931,49.26706,160.173,69.64,1.756935,3,4,54.95,45.05,0.00052494,9.758367,145.2476,5,0,-0.556,1349.70723,1.3298,19.04,22.15
16,-0.192688,0.160655,-0.032032,5.24,7.94,5.5125,1.446813309,-35.77696,59.71768,487.492,80.92,1.965698,4,7,48.02,51.98,0.0003357,33.700689,409.5585,7,5,6.3234,3858.96438,1.4156,23.5,26.2
17,-0.245512,0.150649,-0.094863,10.38,10.16,13.5875,4.774659019,-53.40531,30.05508,297.104,56.51,4.806491,4,2,48.84,51.16,0.00069282,32.57961,249.0858,5,2,2.7322,1886.06282,1.7652,24.24,26.32
18,-0.193353,0.1558,-0.037554,6.76,6.37,8.6025,2.120959394,-39.6757,54.08673,406.465,66.76,1.143141,4,6,49.32,50.68,0.0003544,31.598747,456.6439,7,4,5.7782,3070.84473,1.4832,23.29,24.53
19,-0.211094,0.175889,-0.035204,58.08,6.3,32.9775,25.51267761,-35.41129,17.84962,294.359,0,5.219478,1,3,53.13,46.87,0.0003245,15.573849,194.7397,2,3,3.4424,2457.78786,1.342,13.67,15.26
